x,y
1924469.4460010743,967692.3103367755
1924469.4785927315,967692.3655433301
1924469.5114172644,967692.4206476356
1924469.5374870822,967692.4657205599
1924469.5670751664,967692.5161088469
1924469.5987571792,967692.5727559413
1924469.6307481988,967692.6296517818
1924469.656302606,967692.6744132695
1924469.6887065948,967692.7313932236
1924469.7168701002,967692.7827868431
1924469.7416755052,967692.8275248022
1924469.7722510395,967692.8830742612
1924469.7845374262,967692.9054634202
1924469.8081031314,967692.950155329
1924469.836842635,967693.0062340498
1924469.8593983226,967693.0516028237
1924469.8855210687,967693.1030298078
1924469.9137156599,967693.1597459308
1924469.9416552982,967693.215594634
1924469.969876917,967693.2720014208
1924469.998024795,967693.3274383418
1924470.0175060406,967693.3662763293
1924470.0443128895,967693.4211510702
1924470.0497980865,967693.4321677537
1924470.0709134957,967693.4759218631
1924470.0970738675,967693.5309797681
1924470.1187306,967693.5750247815
1924470.139715341,967693.6191703422
1924470.170704556,967693.6813021745
1924470.1989989628,967693.7389263739
1924470.2211626528,967693.7854695044
1924470.2500185492,967693.8448493765
1924470.278927546,967693.9038581208
1924470.2993262464,967693.945917848
1924470.339874995,967694.0275401712
1924470.3629146088,967694.0746849444
1924470.3908450794,967694.1329059855
1924470.4193468508,967694.1903453226
1924470.4388473902,967694.2308749926
1924470.4657165848,967694.2896695578
1924470.492433267,967694.3478240195
1924470.519561882,967694.4063307693
1924470.545970595,967694.4639683075
1924470.562082577,967694.4990387107
1924470.5905904016,967694.5615941621
1924470.616068663,967694.6193725048
1924470.6419614083,967694.6768430065
1924470.662604936,967694.7223900439
1924470.6881103069,967694.7798384195
1924470.7106659152,967694.8319117437
1924470.7368672686,967694.8897341386
1924470.7575618236,967694.9354464047
1924470.783347342,967694.9939273333
1924470.8091850772,967695.0522640584
1924470.824650583,967695.0875176289
1924470.8537687738,967695.1525509624
1924470.875231222,967695.2000815847
1924470.9012439519,967695.2599249319
1924470.9271280067,967695.319644002
1924470.9524449096,967695.37907207
1924470.970135333,967695.4201104759
1924470.9955615415,967695.4779917573
1924471.0200614426,967695.5349411365
1924471.0443511934,967695.592797395
1924471.0680996212,967695.6503627467
1924471.0824046754,967695.685116725
1924471.108711261,967695.7491283439
1924471.1322495397,967695.8076005789
1924471.151078487,967695.8548115749
1924471.1749009,967695.9132849078
1924471.1991858666,967695.9723789112
1924471.2199820639,967696.0252087156
1924471.2383991617,967696.0720467917
1924471.260905103,967696.1302881096
1924471.2833075612,967696.1885702851
1924471.306250146,967696.2474528041
1924471.3242023773,967696.2942684549
